resource URL,resource id,resource post date,resource title,resource author name,text_name,image_name,image_url,folder name,full folder path,s3_bucket_txt_url,s3_bucket_img_url
https://franchisesuppliernetwork.com/supplier-wire-037/,post-4581,"May 7, 2024",Supplier Wire 037: Using Affordable Offshore Talent to Scale Your Franchise with Brad Stevens of Outsource Access,Brad Stevens,post-4581.txt,image_post-4581.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/05/Resource-Banner-3.png,article_post-4581,output_files\article_post-4581,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4581/post-4581.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4581/image_post-4581.jpg
https://franchisesuppliernetwork.com/relationships-in-franchising/,post-4389,"March 29, 2024",The Power of Relationships in Franchising,Matt Goebel,post-4389.txt,image_post-4389.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-11.png,article_post-4389,output_files\article_post-4389,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4389/post-4389.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4389/image_post-4389.jpg
https://franchisesuppliernetwork.com/1-tom-plumber-smappen/,post-4342,"April 1, 2024","Simple, Robust Software that Works Every Time: Why 1 Tom Plumber Uses Smappen",Romain Dudek,post-4342.txt,image_post-4342.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-14.png,article_post-4342,output_files\article_post-4342,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4342/post-4342.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4342/image_post-4342.jpg
https://franchisesuppliernetwork.com/senate-bill-919/,post-4416,"April 2, 2024",Boulevard of Broker Dreams: Senate Bill 919 Explained,Lane Fisher,post-4416.txt,image_post-4416.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-2.png,article_post-4416,output_files\article_post-4416,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4416/post-4416.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4416/image_post-4416.jpg
https://franchisesuppliernetwork.com/serviceminder-2024-conference-schedule/,post-4374,"April 4, 2024",ServiceMinder’s 2024 Conference Schedule,Olivia DiGirolamo,post-4374.txt,image_post-4374.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/04/Resource-Banner-3.png,article_post-4374,output_files\article_post-4374,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4374/post-4374.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4374/image_post-4374.jpg
https://franchisesuppliernetwork.com/avoid-franchise-failure/,post-4335,"March 11, 2024",Johnny Franchise’s Simple Way to Avoid Failure as a Franchisor,John Francis,post-4335.txt,image_post-4335.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-5.png,article_post-4335,output_files\article_post-4335,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4335/post-4335.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4335/image_post-4335.jpg
https://franchisesuppliernetwork.com/personal-services-franchise-outlook/,post-4370,"March 12, 2024",Pocketsuite’s 2024 Business Outlook for Personal Services Franchises,Revell Horsey,post-4370.txt,image_post-4370.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-7.png,article_post-4370,output_files\article_post-4370,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4370/post-4370.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4370/image_post-4370.jpg
https://franchisesuppliernetwork.com/home-services-busy-season/,post-4375,"March 13, 2024",Get Ahead of the Home Services Busy Season,Dana Farber,post-4375.txt,image_post-4375.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-8.png,article_post-4375,output_files\article_post-4375,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4375/post-4375.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4375/image_post-4375.jpg
https://franchisesuppliernetwork.com/marketing-technology-franchisee-growth/,post-4366,"March 14, 2024",DEVHUB WEBINAR: How to Maximize Your Marketing Technology to Drive Franchisee Growth,Meghan McKenzie,post-4366.txt,image_post-4366.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-9.png,article_post-4366,output_files\article_post-4366,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-4366/post-4366.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-4366/image_post-4366.jpg
https://franchisesuppliernetwork.com/private-equity-franchise/,post-3968,"March 18, 2024",Is Private Equity for You?,Carty Davis,post-3968.txt,image_post-3968.jpg,https://franchisesuppliernetwork.com/wp-content/uploads/2024/03/Resource-Banner-10.png,article_post-3968,output_files\article_post-3968,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/text-files/article_post-3968/post-3968.txt,https://proco-take-home-assignment.s3.amazonaws.com/mrudul_vyas/output_files/images/article_post-3968/image_post-3968.jpg
